Date,Name,Year,Rating,Rewatch,Watched Date
1/5/24,X,2022,2.5,,1/4/24
1/5/24,The Slumber Party Massacre,1982,3,,1/4/24
1/6/24,Enter the Dragon,1973,3.5,,1/5/24
1/7/24,The Substitute,1996,0.5,,1/6/24
1/7/24,Talk to Me,2022,4,,1/6/24
1/12/24,Friday the 13th: A New Beginning,1985,1.5,,1/11/24
1/12/24,Friday the 13th Part VI: Jason Lives,1986,3,,1/11/24
1/13/24,Friday the 13th Part VII: The New Blood,1988,3,,1/12/24
1/13/24,Friday the 13th Part VIII: Jason Takes Manhattan,1989,1.5,,1/12/24
1/13/24,Jason Goes to Hell: The Final Friday,1993,1,,1/12/24
1/14/24,Jason X,2001,2.5,,1/13/24
1/14/24,Hereditary,2018,5,,1/14/24
1/21/24,Night Swim,2024,1,,1/20/24
1/27/24,Mean Girls,2024,3,,1/26/24
2/25/24,The Ninth Gate,1999,2,,2/24/24
3/9/24,Encino Man,1992,4,,3/8/24
3/24/24,Predator,1987,3,,3/23/24
3/24/24,Predator 2,1990,2.5,,3/23/24
4/7/24,In the Mouth of Madness,1994,4,,4/6/24
4/30/24,Challengers,2024,4.5,,4/29/24
5/14/24,Barbershop,2002,4,,5/13/24
5/14/24,Mad Max 2,1981,2.5,,5/13/24
5/18/24,The Strangers: Chapter 1,2024,1.5,,5/17/24
5/22/24,Barbershop 2: Back in Business,2004,3,,5/21/24
6/1/24,Kingdom of the Planet of the Apes,2024,3.5,,5/31/24
6/2/24,Dune,2021,2.5,,6/1/24
6/2/24,Dune: Part Two,2024,2.5,,6/1/24
6/4/24,Stop and Go,2021,4,,6/3/24
6/8/24,Bad Boys: Ride or Die,2024,5,,6/7/24
6/16/24,Bad Boys II,2003,3.5,,6/15/24
6/16/24,Bad Boys,1995,4,,6/15/24
6/16/24,Bad Boys for Life,2020,1.5,,6/15/24
6/16/24,Annihilation,2018,5,,6/15/24
6/30/24,The Blood on Satan's Claw,1971,3.5,,6/29/24
7/4/24,A Quiet Place: Day One,2024,4,,7/3/24
7/23/24,Longlegs,2024,3.5,,7/22/24
8/6/24,RoboCop 2,1990,2,,8/5/24
8/8/24,RoboCop 3,1993,1,,8/7/24
8/9/24,Grandma's Boy,2006,5,,8/8/24
8/12/24,Trap,2024,2,,8/11/24
8/19/24,Pumping Iron,1977,3,,8/18/24
