Name,Year,Letterboxd URI,Rating,Watched Date
X,2022,https://boxd.it/5uX52z,2.5,2024-01-04
The Slumber Party Massacre,1982,https://boxd.it/5uYIgH,3,2024-01-04
Enter the Dragon,1973,https://boxd.it/5vErUT,3.5,2024-01-05
The Substitute,1996,https://boxd.it/5wjfi1,0.5,2024-01-06
Talk to Me,2022,https://boxd.it/5wr5Kv,4,2024-01-06
Friday the 13th: A New Beginning,1985,https://boxd.it/5zhtbV,1.5,2024-01-11
Friday the 13th Part VI: Jason Lives,1986,https://boxd.it/5zl46J,3,2024-01-11
Friday the 13th Part VII: The New Blood,1988,https://boxd.it/5zMuxP,3,2024-01-12
Friday the 13th Part VIII: Jason Takes Manhattan,1989,https://boxd.it/5zPjkL,1.5,2024-01-12
Jason Goes to Hell: The Final Friday,1993,https://boxd.it/5zToU3,1,2024-01-12
Jason X,2001,https://boxd.it/5Ao7OJ,2.5,2024-01-13
Hereditary,2018,https://boxd.it/5AxNrv,5,2024-01-14
Night Swim,2024,https://boxd.it/5E6Tqb,1,2024-01-20
Mean Girls,2024,https://boxd.it/5H17wd,3,2024-01-26
The Ninth Gate,1999,https://boxd.it/5Us7UP,2,2024-02-24
Encino Man,1992,https://boxd.it/60vYNn,4,2024-03-08
Predator,1987,https://boxd.it/67qAdt,3,2024-03-23
Predator 2,1990,https://boxd.it/67uzqf,2.5,2024-03-23
In the Mouth of Madness,1994,https://boxd.it/6e5QO7,4,2024-04-06
Challengers,2024,https://boxd.it/6nn4wL,4.5,2024-04-29
Barbershop,2002,https://boxd.it/6tfRLD,4,2024-05-13
Mad Max 2,1981,https://boxd.it/6tfTaJ,2.5,2024-05-13
The Strangers: Chapter 1,2024,https://boxd.it/6uEG3p,1.5,2024-05-17
Barbershop 2: Back in Business,2004,https://boxd.it/6wnhNB,3,2024-05-21
Kingdom of the Planet of the Apes,2024,https://boxd.it/6AwoKN,3.5,2024-05-31
Dune,2021,https://boxd.it/6AWR7H,2.5,2024-06-01
Dune: Part Two,2024,https://boxd.it/6AWS5x,2.5,2024-06-01
Stop and Go,2021,https://boxd.it/6BQehv,4,2024-06-03
Bad Boys: Ride or Die,2024,https://boxd.it/6Di7qZ,5,2024-06-07
Bad Boys II,2003,https://boxd.it/6GtdTx,3.5,2024-06-15
Bad Boys,1995,https://boxd.it/6GteBp,4,2024-06-15
Bad Boys for Life,2020,https://boxd.it/6Gtf8D,1.5,2024-06-15
Annihilation,2018,https://boxd.it/6Gwnvr,5,2024-06-15
The Blood on Satan's Claw,1971,https://boxd.it/6LZGJv,3.5,2024-06-29
A Quiet Place: Day One,2024,https://boxd.it/6NIiVr,4,2024-07-03
Longlegs,2024,https://boxd.it/6WhmqJ,3.5,2024-07-22
RoboCop 2,1990,https://boxd.it/72wrtn,2,2024-08-05
RoboCop 3,1993,https://boxd.it/73mNRl,1,2024-08-07
Grandma's Boy,2006,https://boxd.it/73JXcN,5,2024-08-08
Trap,2024,https://boxd.it/74VWMX,2,2024-08-11
Pumping Iron,1977,https://boxd.it/78ghUl,3,2024-08-18
The Visit,2015,https://boxd.it/78gkzP,2,2024-08-18
Alien: Romulus,2024,https://boxd.it/78POFt,4.5,2024-08-19
Mad Max Beyond Thunderdome,1985,https://boxd.it/7e5NoD,2,2024-08-31
My Dinner with Andre,1981,https://boxd.it/7fcYqN,5,2024-09-02
Furiosa: A Mad Max Saga,2024,https://boxd.it/7gYAaL,2.5,2024-09-06
Die Hard 2,1990,https://boxd.it/7hxkLL,2.5,2024-09-07
Die Hard With a Vengeance,1995,https://boxd.it/7k5iZn,3.5,2024-09-13
Live Free or Die Hard,2007,https://boxd.it/7kzghX,2.5,2024-09-14
Beetlejuice Beetlejuice,2024,https://boxd.it/7nDCkf,3,2024-09-21
The Boy and the Heron,2023,https://boxd.it/7qevpp,4,2024-09-27
Never Let Go,2024,https://boxd.it/7qIj2j,0.5,2024-09-28
A Nightmare on Elm Street,1984,https://boxd.it/7trG1L,3.5,2024-10-04
The Sixth Sense,1999,https://boxd.it/7tZHwD,4,2024-10-05
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/7vwVHF,2,2024-10-08
Coraline,2009,https://boxd.it/7wPkMZ,4.5,2024-10-11
A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/7xenPd,3.5,2024-10-12
Joker: Folie à Deux,2024,https://boxd.it/7xZnH3,0.5,2024-10-13
The Wicker Man,2006,https://boxd.it/7Aot0n,1,2024-10-18
The Brood,1979,https://boxd.it/7AXsqz,4,2024-10-19
Videodrome,1983,https://boxd.it/7CBR7h,5,2024-10-22
Smile 2,2024,https://boxd.it/7E1Uxt,5,2024-10-25
Halloween,1978,https://boxd.it/7EynxV,4.5,2024-10-26
Terrifier,2016,https://boxd.it/7F2H8h,0.5,2024-10-27
The Rocky Horror Picture Show,1975,https://boxd.it/7HdLoN,3,2024-10-31
"To Sir, with Love",1967,https://boxd.it/7HNnhP,4.5,2024-11-01
Halloween II,1981,https://boxd.it/7ImU4J,4.5,2024-11-02
M,1931,https://boxd.it/7IZ8BD,5,2024-11-03
Tenebre,1982,https://boxd.it/7K13uP,4,2024-11-05
The Lost World: Jurassic Park,1997,https://boxd.it/7LgFRh,2.5,2024-11-08
Heretic,2024,https://boxd.it/7LHfp1,3,2024-11-09
Eyes Without a Face,1960,https://boxd.it/7MiUnT,4,2024-11-10
The Substitute 2: School's Out,1998,https://boxd.it/7NreDH,0.5,2024-11-12
The Killing of a Chinese Bookie,1976,https://boxd.it/7OOJX9,5,2024-11-15
Poor Things,2023,https://boxd.it/7Pn0R1,1,2024-11-16
The Substitute 3: Winner Takes All,1999,https://boxd.it/7UsMgR,0.5,2024-11-26
Legally Blonde,2001,https://boxd.it/7UW2V5,4.5,2024-11-27
Ponyo,2008,https://boxd.it/7VoDY7,4,2024-11-28
Sister Act,1992,https://boxd.it/7VHWWx,3.5,2024-11-29
Sister Act 2: Back in the Habit,1993,https://boxd.it/7VJFr7,3.5,2024-11-29
X-Men,2000,https://boxd.it/7VVafj,3.5,2024-11-29
Walking Tall,2004,https://boxd.it/7YcKlz,2.5,2024-12-04
Y2K,2024,https://boxd.it/7ZKukx,4.5,2024-12-07
The Substitute: Failure Is Not an Option,2001,https://boxd.it/80sFWF,1.5,2024-12-08
The Usual Suspects,1995,https://boxd.it/81rX5r,3.5,2024-12-10
The Maltese Falcon,1941,https://boxd.it/82PpTz,4.5,2024-12-13
Hot Tub Time Machine,2010,https://boxd.it/83pv0H,2.5,2024-12-14
You Don't Mess with the Zohan,2008,https://boxd.it/842HjJ,2,2024-12-15
Straight Outta Compton,2015,https://boxd.it/85zW5R,3,2024-12-18
Princess Mononoke,1997,https://boxd.it/85FnrP,4,2024-12-18
Iron Man,2008,https://boxd.it/86ESbb,1,2024-12-20
Prisoners,2013,https://boxd.it/88QIFH,4.5,2024-12-23
Unbreakable,2000,https://boxd.it/89mP01,1.5,2024-12-24
Ricochet,1991,https://boxd.it/89B1Nn,2,2024-12-24
How the Grinch Stole Christmas!,1966,https://boxd.it/8aj2Kn,4,2024-12-25
The Girl with the Dragon Tattoo,2011,https://boxd.it/8ast7b,3,2024-12-25
Slumber Party Massacre II,1987,https://boxd.it/8bfdMv,2.5,2024-12-26
Friday After Next,2002,https://boxd.it/8bkr7L,2,2024-12-26
The Boondock Saints,1999,https://boxd.it/8c4i2f,1,2024-12-27
Slumber Party Massacre III,1990,https://boxd.it/8c8JQJ,1,2024-12-27
Kill the Irishman,2011,https://boxd.it/8cPcFJ,3,2024-12-28
Blue Velvet,1986,https://boxd.it/8danBF,5,2024-12-28
Black Christmas,1974,https://boxd.it/8e1g1r,5,2024-12-29
